quarter_key,year,quarter,region_ar,city,property_type,sales_transactions,market_value,avg_price_m2,property_category_ar
2020Q3,2020,3,منطقة الرياض,Riyadh,Residential,3,1090000.0,,شقة
2019Q4,2019,4,منطقة الرياض,Riyadh,Residential,6,4252217.0,3041.248065,شقة
2019Q1,2019,1,منطقة الرياض,Riyadh,Residential,1,380000.0,,شقة
2019Q2,2019,2,منطقة الرياض,Riyadh,Residential,2,500000.0,,شقة
2018Q3,2018,3,منطقة المدينة المنورة,Madinah,Residential,6,3620884.38,2143.918108,شقة
2023Q1,2023,1,منطقة المدينة المنورة,Madinah,Residential,1,600000.0,,شقة
2021Q2,2021,2,منطقة المدينة المنورة,Madinah,Residential,38,20719437.2,3000.316762,شقة
2020Q3,2020,3,منطقة المدينة المنورة,Madinah,Residential,25,12276355.0,2521.542764,شقة
2019Q4,2019,4,منطقة المدينة المنورة,Madinah,Residential,31,20339555.7,2965.181034,شقة
2019Q1,2019,1,منطقة المدينة المنورة,Madinah,Residential,8,4681445.07,2931.819864,شقة
2020Q2,2020,2,منطقة المدينة المنورة,Madinah,Residential,27,15607719.0,2681.76089,شقة
2023Q2,2023,2,منطقة الرياض,Riyadh,Residential,21,42371199.0,20316.312245,شقة
2022Q3,2022,3,منطقة الرياض,Riyadh,Residential,19,232489575.0,16532.600498,شقة
2021Q4,2021,4,منطقة الرياض,Riyadh,Residential,12,18197020.0,21499.297073,شقة
2019Q2,2019,2,منطقة مكة المكرمة,Jeddah,Residential,2,760000.0,,شقة
2018Q3,2018,3,منطقة مكة المكرمة,Jeddah,Residential,2,785000.0,,شقة
2020Q2,2020,2,منطقة مكة المكرمة,Jeddah,Residential,10,7103610.0,4205.109738,شقة
2019Q3,2019,3,منطقة مكة المكرمة,Jeddah,Residential,10,7504377.34,4423.710517,شقة
2018Q4,2018,4,منطقة مكة المكرمة,Jeddah,Residential,9,3268892.0,2229.760355,شقة
2018Q1,2018,1,منطقة مكة المكرمة,Jeddah,Residential,3,1075000.0,,شقة
2022Q4,2022,4,منطقة مكة المكرمة,Jeddah,Residential,1,440000.0,,شقة
2022Q2,2022,2,منطقة مكة المكرمة,Jeddah,Residential,4,2450000.0,,شقة
2021Q3,2021,3,منطقة مكة المكرمة,Jeddah,Residential,14,8298100.0,3868.863432,شقة
2020Q4,2020,4,منطقة مكة المكرمة,Jeddah,Residential,14,7180000.0,3696.151516,شقة
2020Q1,2020,1,منطقة مكة المكرمة,Jeddah,Residential,8,3625050.0,4260.954684,شقة
2019Q2,2019,2,المنطقة الشرقية,Dammam,Residential,2,1008264.49,,فيلا
2018Q3,2018,3,المنطقة الشرقية,Dammam,Residential,2,1100777.0,,فيلا
2023Q2,2023,2,المنطقة الشرقية,Dammam,Residential,1,8536615.8,,فيلا
2023Q2,2023,2,المنطقة الشرقية,Dammam,Residential,1,338500.0,,فيلا
2021Q4,2021,4,المنطقة الشرقية,Dammam,Residential,1,536845.0,,فيلا
2021Q1,2021,1,المنطقة الشرقية,Dammam,Residential,3,2148263.92,,فيلا
2018Q2,2018,2,المنطقة الشرقية,Dammam,Residential,1,460000.0,,شقة
2018Q2,2018,2,المنطقة الشرقية,Dammam,Residential,1,263000.0,,فيلا
2021Q2,2021,2,المنطقة الشرقية,Dammam,Residential,1,1100000.0,,فيلا
2020Q3,2020,3,المنطقة الشرقية,Dammam,Residential,1,494818.5,,فيلا
2019Q4,2019,4,المنطقة الشرقية,Dammam,Residential,2,1721622.98,,فيلا
2021Q2,2021,2,منطقة الرياض,Riyadh,Residential,122,48662414.31,2536.409157,شقة
2020Q3,2020,3,منطقة الرياض,Riyadh,Residential,62,22796929.39,2324.802341,شقة
2023Q3,2023,3,منطقة الرياض,Riyadh,Residential,132,81070480.78,3925.57216,شقة
2019Q4,2019,4,منطقة الرياض,Riyadh,Residential,99,43146010.26,2374.503949,شقة
2022Q4,2022,4,منطقة الرياض,Riyadh,Residential,166,96905382.01,3861.781141,شقة
2019Q1,2019,1,منطقة الرياض,Riyadh,Residential,107,42869231.01,2400.992024,شقة
2022Q1,2022,1,منطقة الرياض,Riyadh,Residential,92,38797058.75,2843.265009,شقة
2023Q3,2023,3,منطقة الرياض,Riyadh,Residential,30,16274048.5,4861.623053,شقة
2022Q4,2022,4,منطقة الرياض,Riyadh,Residential,20,15632097.84,5313.286365,شقة
2022Q1,2022,1,منطقة الرياض,Riyadh,Residential,5,1936490.68,,شقة
2023Q2,2023,2,منطقة الرياض,Riyadh,Residential,13,6044000.0,2938.907461,شقة
2022Q3,2022,3,منطقة الرياض,Riyadh,Residential,16,6093016.0,3356.593483,شقة
2021Q4,2021,4,منطقة الرياض,Riyadh,Residential,27,7777624.42,1679.18536,شقة
2021Q1,2021,1,منطقة الرياض,Riyadh,Residential,5,1515000.0,,شقة
2023Q2,2023,2,منطقة مكة المكرمة,Jeddah,Residential,3,1900222.0,,شقة
2021Q4,2021,4,منطقة مكة المكرمة,Jeddah,Residential,1,650000.0,,شقة
2021Q1,2021,1,منطقة مكة المكرمة,Jeddah,Residential,3,1415000.0,,شقة
2022Q2,2022,2,منطقة مكة المكرمة,Jeddah,Residential,1,564380.0,,شقة
2020Q1,2020,1,منطقة مكة المكرمة,Jeddah,Residential,3,2372000.0,,شقة
2023Q2,2023,2,منطقة مكة المكرمة,Jeddah,Residential,7,5245000.0,4372.946924,شقة
2022Q3,2022,3,منطقة مكة المكرمة,Jeddah,Residential,5,2615010.58,,شقة
2021Q4,2021,4,منطقة مكة المكرمة,Jeddah,Residential,20,12373514.05,3784.316636,شقة
2021Q1,2021,1,منطقة الرياض,Riyadh,Residential,127,75663934.2,4271.62188,شقة
2023Q3,2023,3,منطقة الرياض,Riyadh,Residential,23,24909990.0,8120.625596,شقة
2022Q4,2022,4,منطقة الرياض,Riyadh,Residential,41,43497830.75,7139.64018,شقة
2022Q2,2022,2,منطقة الرياض,Riyadh,Residential,1,1550998.5,,عمارة
2021Q3,2021,3,منطقة الرياض,Riyadh,Residential,2,1859460.0,,عمارة
2023Q2,2023,2,منطقة الرياض,Riyadh,Residential,36,38605903.6,8103.94398,شقة
2022Q3,2022,3,منطقة الرياض,Riyadh,Residential,30,29198962.37,7795.80861,شقة
2023Q3,2023,3,منطقة الرياض,Riyadh,Residential,9,20181730.0,20577.891836,شقة
2022Q4,2022,4,منطقة الرياض,Riyadh,Residential,31,50073670.0,20650.398799,شقة
2022Q1,2022,1,منطقة الرياض,Riyadh,Residential,29,87855150.0,24801.125934,شقة
2023Q1,2023,1,منطقة الرياض,Riyadh,Residential,25,50094100.0,20000.0,شقة
2019Q2,2019,2,منطقة الرياض,Riyadh,Residential,76,30007183.36,2288.856361,شقة
2018Q3,2018,3,منطقة الرياض,Riyadh,Residential,62,21748828.22,2200.095923,شقة
2020Q2,2020,2,منطقة الرياض,Riyadh,Residential,37,13813052.55,2444.325696,شقة
2019Q3,2019,3,منطقة الرياض,Riyadh,Residential,96,36471228.32,2306.127813,شقة
2018Q4,2018,4,منطقة الرياض,Riyadh,Residential,67,26936084.31,2127.08071,شقة
2018Q1,2018,1,منطقة الرياض,Riyadh,Residential,62,25129263.96,2383.934939,شقة
2022Q1,2022,1,منطقة الرياض,Riyadh,Residential,2,670000.0,,عمارة
2019Q2,2019,2,منطقة الرياض,Riyadh,Residential,23,31180178.17,12546.615121,شقة
2018Q3,2018,3,منطقة الرياض,Riyadh,Residential,123,66156213.8,3531.671542,شقة
2022Q2,2022,2,منطقة الرياض,Riyadh,Residential,7,10465450.0,20633.42544,شقة
2021Q3,2021,3,منطقة الرياض,Riyadh,Residential,90,181492876.4,23375.341709,شقة
2021Q2,2021,2,منطقة الرياض,Riyadh,Residential,21,31878000.0,4461.803096,فيلا
2020Q3,2020,3,منطقة الرياض,Riyadh,Residential,8,10794051.5,4220.625736,فيلا
2023Q3,2023,3,منطقة الرياض,Riyadh,Residential,12,22702416.79,5608.987539,فيلا
2019Q4,2019,4,منطقة الرياض,Riyadh,Residential,11,18124487.61,3479.518448,فيلا
2022Q4,2022,4,منطقة الرياض,Riyadh,Residential,4,8000000.0,,فيلا
2019Q1,2019,1,منطقة الرياض,Riyadh,Residential,7,9631940.92,3720.695541,فيلا
2022Q1,2022,1,منطقة الرياض,Riyadh,Residential,10,21470000.0,6124.190235,فيلا
2021Q1,2021,1,منطقة مكة المكرمة,Jeddah,Residential,17,11512303.0,3759.352234,شقة
2019Q2,2019,2,منطقة مكة المكرمة,Jeddah,Residential,9,4161252.2,3047.50688,شقة
2018Q3,2018,3,منطقة مكة المكرمة,Jeddah,Residential,10,2500000.0,1391.199265,شقة
2019Q2,2019,2,منطقة الرياض,Riyadh,Residential,26,15585781.0,3869.606273,شقة
2018Q3,2018,3,منطقة الرياض,Riyadh,Residential,3,1440000.0,,شقة
2020Q2,2020,2,منطقة الرياض,Riyadh,Residential,13,21749591.0,4140.056259,فيلا
2019Q3,2019,3,منطقة الرياض,Riyadh,Residential,4,4390494.56,,فيلا
2018Q4,2018,4,منطقة الرياض,Riyadh,Residential,7,8660974.49,3695.719125,فيلا
2018Q1,2018,1,منطقة الرياض,Riyadh,Residential,2,2362891.0,,فيلا
2022Q2,2022,2,منطقة الرياض,Riyadh,Residential,16,5597538.0,2490.083465,شقة
2021Q3,2021,3,منطقة الرياض,Riyadh,Residential,4,500000.0,,شقة
2020Q4,2020,4,منطقة الرياض,Riyadh,Residential,13,3037502.12,2109.697235,شقة
2020Q1,2020,1,منطقة الرياض,Riyadh,Residential,1,365000.0,,شقة
2022Q2,2022,2,منطقة الرياض,Riyadh,Residential,39,37909254.81,6121.394838,شقة
2021Q3,2021,3,منطقة الرياض,Riyadh,Residential,93,75910676.48,4891.858676,شقة
2019Q1,2019,1,المنطقة الشرقية,Dammam,Residential,3,1185399.0,,فيلا
2022Q2,2022,2,المنطقة الشرقية,Dammam,Residential,1,320000.0,,فيلا
2022Q4,2022,4,المنطقة الشرقية,Dammam,Residential,1,480000.0,,فيلا
2019Q3,2019,3,المنطقة الشرقية,Dammam,Residential,2,1106263.96,,فيلا
2018Q4,2018,4,المنطقة الشرقية,Dammam,Residential,2,1077955.56,,فيلا
2022Q2,2022,2,المنطقة الشرقية,Dammam,Residential,1,750000.0,,شقة
2023Q1,2023,1,المنطقة الشرقية,Dammam,Residential,21,15257314.79,3629.172461,شقة
2023Q3,2023,3,منطقة الرياض,Riyadh,Residential,67,83853945.0,8915.469179,شقة
2022Q4,2022,4,منطقة الرياض,Riyadh,Residential,26,30353000.0,6254.877042,شقة
2022Q1,2022,1,منطقة الرياض,Riyadh,Residential,72,66907181.2,5644.943729,شقة
2023Q1,2023,1,منطقة الرياض,Riyadh,Residential,150,84721982.42,3405.333356,شقة
2020Q4,2020,4,منطقة الرياض,Riyadh,Residential,36,25527390.0,4682.917483,شقة
2020Q1,2020,1,منطقة الرياض,Riyadh,Residential,72,49361386.56,4217.548578,شقة
2021Q2,2021,2,منطقة الرياض,Riyadh,Residential,3,4257394.5,,عمارة
2023Q1,2023,1,منطقة الرياض,Riyadh,Residential,82,92362704.98,7243.512031,شقة
2023Q1,2023,1,منطقة الرياض,Riyadh,Residential,18,3048000.0,1155.785685,شقة
2021Q2,2021,2,منطقة الرياض,Riyadh,Residential,16,49680000.0,5212.278253,فيلا
2020Q3,2020,3,منطقة الرياض,Riyadh,Residential,13,19589100.97,5242.838344,فيلا
2023Q3,2023,3,منطقة الرياض,Riyadh,Residential,17,93054801.36,7503.340494,فيلا
2019Q4,2019,4,منطقة الرياض,Riyadh,Residential,12,248947485.5,10083.218224,فيلا
2022Q4,2022,4,منطقة الرياض,Riyadh,Residential,19,42673966.43,8038.281593,فيلا
2019Q1,2019,1,منطقة الرياض,Riyadh,Residential,9,24948744.25,4371.053909,فيلا
2022Q1,2022,1,منطقة الرياض,Riyadh,Residential,28,81378812.0,6527.354581,فيلا
2020Q2,2020,2,منطقة الرياض,Riyadh,Residential,62,70816365.0,7946.513683,شقة
2019Q3,2019,3,منطقة الرياض,Riyadh,Residential,10,10986468.5,11924.51893,شقة
2018Q4,2018,4,منطقة الرياض,Riyadh,Residential,71,118419389.0,13775.335702,شقة
2018Q1,2018,1,منطقة الرياض,Riyadh,Residential,167,316142875.83,16686.529744,شقة
2023Q1,2023,1,منطقة الرياض,Riyadh,Residential,432,471306551.44,7694.335607,شقة
2020Q2,2020,2,منطقة الرياض,Riyadh,Residential,62,42332349.0,4463.51378,شقة
2019Q3,2019,3,منطقة الرياض,Riyadh,Residential,21,13536177.0,3794.812641,شقة
2018Q4,2018,4,منطقة الرياض,Riyadh,Residential,5,2614000.0,,شقة
2018Q1,2018,1,منطقة الرياض,Riyadh,Residential,3,1290000.0,,شقة
2018Q2,2018,2,منطقة الرياض,Riyadh,Residential,54,22105080.4,2380.383632,شقة
2021Q2,2021,2,منطقة الرياض,Riyadh,Residential,10,19483830.0,11461.563359,شقة
2019Q2,2019,2,منطقة الرياض,Riyadh,Residential,2,1906989.71,,فيلا
2018Q3,2018,3,منطقة الرياض,Riyadh,Residential,3,3616695.75,,فيلا
2022Q3,2022,3,منطقة الرياض,Riyadh,Residential,4,525000.0,,عمارة
2022Q1,2022,1,منطقة الرياض,Riyadh,Residential,1,1150000.0,,عمارة
2023Q1,2023,1,منطقة الرياض,Riyadh,Residential,1,1501700.0,,عمارة
2023Q2,2023,2,منطقة الرياض,Riyadh,Residential,10,20940000.0,5087.96741,فيلا
2022Q3,2022,3,منطقة الرياض,Riyadh,Residential,11,18782530.0,6389.023285,فيلا
2021Q4,2021,4,منطقة الرياض,Riyadh,Residential,13,25728587.0,4516.061437,فيلا
2021Q1,2021,1,منطقة الرياض,Riyadh,Residential,25,41144000.0,4519.449251,فيلا
2022Q2,2022,2,منطقة الرياض,Riyadh,Residential,2,826000.0,,عمارة
2018Q2,2018,2,منطقة الرياض,Riyadh,Residential,34,63379907.83,16910.712362,شقة
2023Q3,2023,3,منطقة الرياض,Riyadh,Residential,13,13454000.0,8650.197535,شقة
2022Q4,2022,4,منطقة الرياض,Riyadh,Residential,27,276461515.37,9515.754648,شقة
2022Q1,2022,1,منطقة الرياض,Riyadh,Residential,12,19501048.0,12975.691996,شقة
2020Q2,2020,2,منطقة الرياض,Riyadh,Residential,2,929827010.0,,فيلا
2022Q3,2022,3,منطقة الرياض,Riyadh,Residential,4,8148804.0,,فيلا
2018Q4,2018,4,منطقة الرياض,Riyadh,Residential,1,1746684.5,,فيلا
2021Q4,2021,4,منطقة الرياض,Riyadh,Residential,1,1184777.0,,فيلا
2018Q1,2018,1,منطقة الرياض,Riyadh,Residential,6,107170102.68,2017.640123,فيلا
2021Q1,2021,1,منطقة الرياض,Riyadh,Residential,10,19911288.0,1000.000796,فيلا
2022Q2,2022,2,منطقة الرياض,Riyadh,Residential,24,74615932.08,10344.775064,فيلا
2021Q3,2021,3,منطقة الرياض,Riyadh,Residential,27,75441200.15,7914.387993,فيلا
2020Q4,2020,4,منطقة الرياض,Riyadh,Residential,15,32122606.77,5031.693182,فيلا
2020Q1,2020,1,منطقة الرياض,Riyadh,Residential,8,17270000.0,4983.633295,فيلا
2023Q1,2023,1,منطقة الرياض,Riyadh,Residential,23,198988113.6,12273.88535,فيلا
2018Q2,2018,2,منطقة الرياض,Riyadh,Residential,7,8670928.95,3213.953468,فيلا
2022Q2,2022,2,منطقة الرياض,Riyadh,Residential,17,36757381.0,6085.422459,فيلا
2021Q3,2021,3,منطقة الرياض,Riyadh,Residential,20,94506317.5,4752.230474,فيلا
2020Q4,2020,4,منطقة الرياض,Riyadh,Residential,17,25158330.4,3855.020278,فيلا
2020Q1,2020,1,منطقة الرياض,Riyadh,Residential,5,7910002.4,,فيلا
2023Q2,2023,2,منطقة الرياض,Riyadh,Residential,17,21966204.99,11388.543487,شقة
2022Q3,2022,3,منطقة الرياض,Riyadh,Residential,21,27911528.0,10894.83702,شقة
2021Q4,2021,4,منطقة الرياض,Riyadh,Residential,28,44368982.0,9317.006407,شقة
2021Q1,2021,1,منطقة الرياض,Riyadh,Residential,29,41087707.38,10134.542986,شقة
2023Q1,2023,1,منطقة الرياض,Riyadh,Residential,35,122203512.52,8122.261977,فيلا
2023Q1,2023,1,منطقة الرياض,Riyadh,Residential,10,977000.0,2301.018483,عمارة
2020Q2,2020,2,منطقة الرياض,Riyadh,Residential,1,277500.0,,شقة
2018Q4,2018,4,منطقة الرياض,Riyadh,Residential,2,539935.8,,شقة
2018Q1,2018,1,منطقة الرياض,Riyadh,Residential,1,220000.0,,شقة
2018Q2,2018,2,منطقة الرياض,Riyadh,Residential,2,3320000.0,,فيلا
2021Q2,2021,2,منطقة الرياض,Riyadh,Residential,1,2200000.0,,فيلا
2020Q3,2020,3,منطقة الرياض,Riyadh,Residential,2,5823200.0,,فيلا
2022Q1,2022,1,منطقة الرياض,Riyadh,Residential,2,6135500.0,,فيلا
2023Q2,2023,2,منطقة الرياض,Riyadh,Residential,19,228624500.0,12444.852941,فيلا
2022Q3,2022,3,منطقة الرياض,Riyadh,Residential,18,154340000.0,11994.246109,فيلا
2021Q4,2021,4,منطقة الرياض,Riyadh,Residential,15,71535836.31,7276.955657,فيلا
2021Q1,2021,1,منطقة الرياض,Riyadh,Residential,26,80772481.82,5754.093612,فيلا
2020Q2,2020,2,منطقة الرياض,Riyadh,Residential,11,30143965.0,5560.084139,فيلا
2019Q3,2019,3,منطقة الرياض,Riyadh,Residential,7,12294498.0,5146.31588,فيلا
2018Q4,2018,4,منطقة الرياض,Riyadh,Residential,10,21548698.0,5412.42249,فيلا
2018Q1,2018,1,منطقة الرياض,Riyadh,Residential,5,10635000.0,,فيلا
2021Q2,2021,2,منطقة مكة المكرمة,Jeddah,Residential,1,709263.0,,شقة
2020Q3,2020,3,منطقة مكة المكرمة,Jeddah,Residential,3,1061600.0,,شقة
2023Q1,2023,1,منطقة مكة المكرمة,Jeddah,Residential,23,17543830.33,4411.295856,شقة
2022Q2,2022,2,منطقة مكة المكرمة,Jeddah,Residential,43,94331702.27,6386.045557,فيلا
2021Q3,2021,3,منطقة مكة المكرمة,Jeddah,Residential,28,48093248.98,4785.379705,فيلا
2020Q4,2020,4,منطقة مكة المكرمة,Jeddah,Residential,24,32921871.5,5385.50008,فيلا
2020Q1,2020,1,منطقة مكة المكرمة,Jeddah,Residential,23,54305705.24,5194.315483,فيلا
2023Q3,2023,3,منطقة مكة المكرمة,Jeddah,Residential,1,1900000.0,,فيلا
2022Q1,2022,1,منطقة مكة المكرمة,Jeddah,Residential,1,1200000.0,,فيلا
2023Q2,2023,2,منطقة مكة المكرمة,Jeddah,Residential,2,3750000.0,,فيلا
2023Q1,2023,1,منطقة المدينة المنورة,Madinah,Residential,17,9740092.56,3392.896963,شقة
2023Q1,2023,1,منطقة المدينة المنورة,Madinah,Residential,35,23927587.41,3281.850801,شقة
2018Q2,2018,2,منطقة المدينة المنورة,Madinah,Residential,2,583000.0,,شقة
2023Q2,2023,2,منطقة المدينة المنورة,Madinah,Residential,2,1160000.0,,شقة
2022Q3,2022,3,منطقة المدينة المنورة,Madinah,Residential,21,14716310.08,3733.484965,شقة
2021Q4,2021,4,منطقة المدينة المنورة,Madinah,Residential,1,795000.0,,شقة
2023Q3,2023,3,منطقة المدينة المنورة,Madinah,Residential,1,726000.0,,شقة
2022Q4,2022,4,منطقة المدينة المنورة,Madinah,Residential,2,1211924.63,,شقة
2023Q3,2023,3,منطقة المدينة المنورة,Madinah,Residential,19,12136100.0,3198.418556,شقة
2022Q4,2022,4,منطقة المدينة المنورة,Madinah,Residential,26,16778883.1,3444.76164,شقة
2023Q3,2023,3,منطقة المدينة المنورة,Madinah,Residential,3,3527007.6,,شقة
2022Q4,2022,4,منطقة المدينة المنورة,Madinah,Residential,6,3471000.0,3141.756582,شقة
2023Q2,2023,2,منطقة المدينة المنورة,Madinah,Residential,19,12389618.0,3108.044056,شقة
2021Q2,2021,2,منطقة الرياض,Riyadh,Residential,1,550000.0,,فيلا
2019Q4,2019,4,منطقة الرياض,Riyadh,Residential,3,2440000.0,,فيلا
2023Q3,2023,3,منطقة الرياض,Riyadh,Residential,19,21092685.73,3120.425327,فيلا
2022Q4,2022,4,منطقة الرياض,Riyadh,Residential,33,41755468.77,3352.432968,فيلا
2022Q1,2022,1,منطقة الرياض,Riyadh,Residential,58,68322125.56,3223.519873,فيلا
2022Q4,2022,4,منطقة الرياض,Riyadh,Residential,1,500000.0,,عمارة
2023Q1,2023,1,منطقة الرياض,Riyadh,Residential,2,5107000.0,,فيلا
2020Q2,2020,2,منطقة الرياض,Riyadh,Residential,1,1195805.91,,فيلا
2023Q3,2023,3,منطقة الرياض,Riyadh,Residential,25,164238285.0,11956.412579,فيلا
2023Q2,2023,2,منطقة الرياض,Riyadh,Residential,5,520000.0,,عمارة
2022Q3,2022,3,منطقة الرياض,Riyadh,Residential,1,800000.0,,عمارة
2023Q1,2023,1,منطقة الرياض,Riyadh,Residential,15,27052168.0,5930.843163,فيلا
2018Q2,2018,2,منطقة الرياض,Riyadh,Residential,6,116410707.0,9783.49459,فيلا
2021Q2,2021,2,منطقة الرياض,Riyadh,Residential,103,120910626.72,3885.356862,فيلا
2020Q3,2020,3,منطقة الرياض,Riyadh,Residential,113,121385579.74,3434.610346,فيلا
2019Q2,2019,2,منطقة الرياض,Riyadh,Residential,128,128063505.65,3373.622989,فيلا
2022Q2,2022,2,منطقة الرياض,Riyadh,Residential,119,171378651.47,3762.058624,فيلا
2018Q3,2018,3,منطقة الرياض,Riyadh,Residential,142,152117994.29,3101.938903,فيلا
2021Q3,2021,3,منطقة الرياض,Riyadh,Residential,97,112538525.19,3876.196772,فيلا
2020Q4,2020,4,منطقة الرياض,Riyadh,Residential,155,184485861.23,3538.627484,فيلا
2020Q1,2020,1,منطقة الرياض,Riyadh,Residential,164,180537346.11,3321.383937,فيلا
2023Q1,2023,1,منطقة الرياض,Riyadh,Residential,92,134851715.1,4163.946058,فيلا
2023Q3,2023,3,منطقة الرياض,Riyadh,Residential,19,74918345.0,8425.498004,فيلا
2019Q4,2019,4,منطقة مكة المكرمة,Jeddah,Residential,1,47000.0,,فيلا
2023Q1,2023,1,منطقة مكة المكرمة,Jeddah,Residential,1,2174301.5,,فيلا
2022Q2,2022,2,منطقة مكة المكرمة,Jeddah,Residential,18,30396452.55,6200.900907,فيلا
2021Q3,2021,3,منطقة مكة المكرمة,Jeddah,Residential,24,33778136.4,6097.261841,فيلا
2020Q4,2020,4,منطقة مكة المكرمة,Jeddah,Residential,42,54584230.1,5267.70582,فيلا
2020Q1,2020,1,منطقة مكة المكرمة,Jeddah,Residential,37,44982212.44,4829.701736,فيلا
2023Q1,2023,1,منطقة مكة المكرمة,Jeddah,Residential,44,180105711.8,7011.372472,فيلا
2018Q2,2018,2,منطقة مكة المكرمة,Jeddah,Residential,5,21576630.0,,فيلا
2021Q2,2021,2,منطقة مكة المكرمة,Jeddah,Residential,26,37618271.35,5398.331513,فيلا
2022Q3,2022,3,منطقة المدينة المنورة,Madinah,Residential,28,18978995.45,3115.245395,شقة
2023Q3,2023,3,منطقة المدينة المنورة,Madinah,Residential,45,53095658.88,2913.548941,فيلا
